bed_id,room_id,bed_number,status
1,R101,A,Occupied
2,R101,B,Occupied
3,R102,A,Available
4,R102,B,Occupied
5,R103,A,Occupied
6,R104,A,Occupied
7,R104,B,Occupied
8,R105,A,Occupied
9,R105,B,Occupied
10,R106,A,Occupied
11,R106,B,Available
12,R107,A,Occupied
13,R107,B,Occupied
14,R108,A,Occupied
15,R108,B,Occupied
16,R109,A,Maintenance
17,R110,A,Occupied
18,R110,B,Occupied
19,R111,A,Occupied
20,R111,B,Occupied
21,R112,A,Occupied
22,R112,B,Occupied
23,R113,A,Available
24,R113,B,Occupied
25,R114,A,Occupied
26,R114,B,Available
27,R115,A,Cleaning
28,R116,A,Cleaning
29,R116,B,Occupied
30,R117,A,Occupied
31,R117,B,Occupied
32,R118,A,Occupied
33,R118,B,Cleaning
34,R119,A,Occupied
35,R119,B,Available
36,R120,A,Occupied
37,R120,B,Occupied
38,R201,A,Occupied
39,R202,A,Cleaning
40,R202,B,Occupied
41,R203,A,Occupied
42,R204,A,Occupied
43,R204,B,Occupied
44,R205,A,Available
45,R205,B,Occupied
46,R206,A,Occupied
47,R207,A,Occupied
48,R207,B,Available
49,R208,A,Occupied
50,R208,B,Occupied
51,R209,A,Available
52,R209,B,Occupied
53,R210,A,Occupied
54,R210,B,Occupied
55,R211,A,Maintenance
56,R211,B,Available
57,R212,A,Occupied
58,R212,B,Occupied
59,R213,A,Occupied
60,R213,B,Occupied
61,R214,A,Occupied
62,R214,B,Occupied
63,R215,A,Maintenance
64,R215,B,Occupied
65,R216,A,Occupied
66,R216,B,Occupied
67,R217,A,Occupied
68,R217,B,Occupied
69,R218,A,Occupied
70,R218,B,Available
71,R219,A,Occupied
72,R219,B,Occupied
73,R220,A,Occupied
74,R220,B,Occupied
75,R301,A,Maintenance
76,R301,B,Occupied
77,R302,A,Occupied
78,R302,B,Occupied
79,R303,A,Occupied
80,R304,A,Occupied
81,R304,B,Maintenance
82,R305,A,Occupied
83,R305,B,Maintenance
84,R306,A,Occupied
85,R306,B,Available
86,R307,A,Available
87,R307,B,Occupied
88,R308,A,Occupied
89,R308,B,Occupied
90,R309,A,Occupied
91,R310,A,Occupied
92,R310,B,Available
93,R311,A,Occupied
94,R311,B,Occupied
95,R312,A,Available
96,R312,B,Cleaning
97,R313,A,Occupied
98,R314,A,Available
99,R314,B,Occupied
100,R315,A,Occupied
101,R315,B,Occupied
102,R316,A,Occupied
103,R316,B,Occupied
104,R317,A,Occupied
105,R317,B,Available
106,R318,A,Occupied
107,R318,B,Occupied
108,R319,A,Occupied
109,R319,B,Occupied
110,R320,A,Occupied
111,R320,B,Cleaning
112,R401,A,Occupied
113,R401,B,Occupied
114,R402,A,Occupied
115,R402,B,Occupied
116,R403,A,Occupied
117,R403,B,Occupied
118,R404,A,Available
119,R404,B,Occupied
120,R405,A,Occupied
121,R405,B,Occupied
122,R406,A,Occupied
123,R407,A,Occupied
124,R407,B,Occupied
125,R408,A,Occupied
126,R409,A,Occupied
127,R409,B,Occupied
128,R410,A,Occupied
129,R410,B,Available
130,R411,A,Occupied
131,R411,B,Occupied
132,R412,A,Available
133,R412,B,Occupied
134,R413,A,Occupied
135,R413,B,Occupied
136,R414,A,Cleaning
137,R414,B,Available
138,R415,A,Occupied
139,R416,A,Cleaning
140,R416,B,Occupied
141,R417,A,Occupied
142,R417,B,Occupied
143,R418,A,Occupied
144,R418,B,Cleaning
145,R419,A,Occupied
146,R419,B,Occupied
147,R420,A,Maintenance
148,R420,B,Occupied
149,R501,A,Occupied
150,R502,A,Occupied
151,R502,B,Cleaning
152,R503,A,Occupied
153,R503,B,Occupied
154,R504,A,Occupied
155,R504,B,Available
156,R505,A,Occupied
157,R505,B,Occupied
158,R506,A,Available
159,R507,A,Occupied
160,R507,B,Occupied
161,R508,A,Occupied
162,R508,B,Occupied
163,R509,A,Occupied
164,R509,B,Occupied
165,R510,A,Occupied
166,R510,B,Cleaning
167,R511,A,Occupied
168,R511,B,Occupied
169,R512,A,Occupied
170,R512,B,Occupied
171,R513,A,Available
172,R513,B,Occupied
173,R514,A,Occupied
174,R515,A,Occupied
175,R515,B,Cleaning
176,R516,A,Occupied
177,R516,B,Occupied
178,R517,A,Cleaning
179,R517,B,Available
180,R518,A,Occupied
181,R518,B,Occupied
182,R519,A,Cleaning
183,R519,B,Occupied
184,R520,A,Available
185,R520,B,Occupied
