room_id,floor,room_number,department_id,room_type_id,status
R101,1,101,1,1,Occupied
R102,1,102,1,1,Occupied
R103,1,103,1,3,Occupied
R104,1,104,1,1,Occupied
R105,1,105,1,1,Occupied
R106,1,106,1,2,Occupied
R107,1,107,1,1,Occupied
R108,1,108,1,2,Occupied
R109,1,109,1,3,Maintenance
R110,1,110,1,1,Occupied
R111,1,111,1,1,Occupied
R112,1,112,1,2,Occupied
R113,1,113,1,2,Occupied
R114,1,114,1,1,Occupied
R115,1,115,1,3,Cleaning
R116,1,116,1,1,Occupied
R117,1,117,1,1,Occupied
R118,1,118,1,1,Occupied
R119,1,119,1,2,Occupied
R120,1,120,1,1,Occupied
R201,2,201,2,3,Occupied
R202,2,202,2,1,Occupied
R203,2,203,2,3,Occupied
R204,2,204,2,1,Occupied
R205,2,205,2,1,Occupied
R206,2,206,2,3,Occupied
R207,2,207,2,2,Occupied
R208,2,208,2,1,Occupied
R209,2,209,2,1,Occupied
R210,2,210,2,1,Occupied
R211,2,211,2,1,Maintenance
R212,2,212,2,2,Occupied
R213,2,213,2,2,Occupied
R214,2,214,2,1,Occupied
R215,2,215,2,1,Occupied
R216,2,216,2,2,Occupied
R217,2,217,2,1,Occupied
R218,2,218,2,2,Occupied
R219,2,219,2,1,Occupied
R220,2,220,2,1,Occupied
R301,3,301,3,2,Occupied
R302,3,302,3,1,Occupied
R303,3,303,3,3,Occupied
R304,3,304,3,1,Occupied
R305,3,305,3,1,Occupied
R306,3,306,3,1,Occupied
R307,3,307,3,1,Occupied
R308,3,308,3,2,Occupied
R309,3,309,3,3,Occupied
R310,3,310,3,1,Occupied
R311,3,311,3,1,Occupied
R312,3,312,3,1,Cleaning
R313,3,313,3,3,Occupied
R314,3,314,3,1,Occupied
R315,3,315,3,2,Occupied
R316,3,316,3,2,Occupied
R317,3,317,3,2,Occupied
R318,3,318,3,1,Occupied
R319,3,319,3,1,Occupied
R320,3,320,3,1,Occupied
R401,4,401,4,1,Occupied
R402,4,402,4,2,Occupied
R403,4,403,4,1,Occupied
R404,4,404,4,2,Occupied
R405,4,405,4,2,Occupied
R406,4,406,4,3,Occupied
R407,4,407,4,1,Occupied
R408,4,408,4,3,Occupied
R409,4,409,4,1,Occupied
R410,4,410,4,1,Occupied
R411,4,411,4,1,Occupied
R412,4,412,4,1,Occupied
R413,4,413,4,1,Occupied
R414,4,414,4,2,Cleaning
R415,4,415,4,3,Occupied
R416,4,416,4,1,Occupied
R417,4,417,4,2,Occupied
R418,4,418,4,1,Occupied
R419,4,419,4,1,Occupied
R420,4,420,4,1,Occupied
R501,5,501,5,3,Occupied
R502,5,502,5,2,Occupied
R503,5,503,5,1,Occupied
R504,5,504,5,1,Occupied
R505,5,505,5,1,Occupied
R506,5,506,5,3,Available
R507,5,507,5,1,Occupied
R508,5,508,5,2,Occupied
R509,5,509,5,2,Occupied
R510,5,510,5,1,Occupied
R511,5,511,5,1,Occupied
R512,5,512,5,1,Occupied
R513,5,513,5,2,Occupied
R514,5,514,5,3,Occupied
R515,5,515,5,2,Occupied
R516,5,516,5,1,Occupied
R517,5,517,5,1,Cleaning
R518,5,518,5,1,Occupied
R519,5,519,5,1,Occupied
R520,5,520,5,1,Occupied
